IDENTMENECOPA;ident_men;vag;nbvehic;marque;carbu;anvoi;expvoi1;expvoi2;expvoi3;expvoi4;provoi;protrav;km_auto;repar_auto;fraisvoi;persvoi;quivoi;apvoi;gravoi;recvoi;moisvoi;lieuvoi;acqvoi;crevoi;empvoi;apervoi;mcrevoi;ancvoi;repvoi;privoi;marque_d;numvehic;fraisvoi_d;repar_auto_d;mcrevoi_d;privoi_d;repvoi_d;dom;achat_auto;credit_achat;prix_auto;remb_cred_12;acq_neuf;acq_occaz;prix_neuf;prix_occaz;rep_neuf;rep_occaz;remb_neuf;remb_occaz
201100001;1;2;1;CHATENET;2;2006;0;0;1;0;;;;3000;100;1;2;3;;2008;;;;;;;;;;;SANS PERMIS;1;100;3000;;;;0;;;;;;;;;;;;
201100002;2;1;2;CITROEN C4;2;2004;0;0;1;0;;;;0;0;3;;3;;2004;;;;;;;;;;;CITROEN C4;1;;;;;;0;;;;;;;;;;;;
201100002;2;1;2;PEUGEOT 205;2;1998;0;0;1;0;;;;0;0;1;1;3;;2002;;;;;;;;;;;PEUGEOT 205;2;;;;;;0;;;;;;;;;;;;
201100003;3;2;1;TOYATA YARIS;2;2005;0;0;0;1;;;;0;0;1;1;4;;;;;;;;;;;;;TOYOTA YARIS;1;;;;;;0;;;;;;;;;;;;
201100004;4;3;2;BMW 3 18;1;1991;1;0;1;0;;33;30;125;15;1;2;3;;2002;;;;;;;;;;;BMW SERIE 3;1;15;125;;;;0;;;;;;;;;;;;
201100004;4;3;2;LAGUNA RENAULT;2;1998;1;0;1;0;;40;600;0;0;1;1;3;;2010;12;2;2;3;;;;3;;2800;RENAULT LAGUNA;2;;;;2800;;0;1;;2800;;;1;;2800;0;;;0
201100005;5;4;2;FORD FISTA;2;2009;1;1;1;0;0;0;0;0;0;1;3;3;;2009;;;;;;;;;;;FORD FIESTA;1;;;;;;0;;;;;;;;;;;;
201100005;5;4;2;FORD MONDEO;2;2008;0;0;1;0;;;;0;0;3;;3;;2008;;;;;;;;;;;FORD MONDEO;2;;;;;;0;;;;;;;;;;;;
201100006;6;4;3;4X4 MERCEDES;2;2011;1;0;1;0;;80;350;0;0;1;1;3;;2011;1;2;1;1;10000;3000;600;2;12000;25000;MERCEDES 4X4;1;;;600;25000;12000;0;1;1;25000;600;1;;25000;;;12000;600;
201100006;6;4;3;TOYOTA RAV 4;1;1998;1;0;1;0;;80;50;0;150;1;2;3;;2006;;;;;;;;;;;TOYOTA RAV4;2;150;;;;;0;;;;;;;;;;;;
